City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port-Gentil,20,GA,1555974000,94,-0.72,8.78,27,3.6
,,,,,,,,
Makat,23,KZ,1555979718,55,47.65,53.35,8.69,1.53
,,,,,,,,
Musoma,99,TZ,1555979718,67,-1.5,33.81,23.98,2.63
Semirom,0,IR,1555979446,75,31.41,51.57,0.26,3.13
Pilar,20,AR,1555979703,67,-34.46,-58.91,17,3.1
Ketchikan,75,US,1555977360,67,55.34,-131.65,8,2.6
Prince Rupert,90,CA,1555977600,73,54.32,-130.32,8,2.6
Laramie,90,US,1555979626,75,41.31,-105.59,6,7.7
Springdale,1,US,1555979663,50,36.19,-94.13,24,4.1
,,,,,,,,
Kilinochchi,36,LK,1555979719,79,9.4,80.4,28.61,4.18
,,,,,,,,
Broken Hill,40,AU,1555977600,54,-31.97,141.45,14,6.2
Kyrksaeterora,0,NO,1555979404,81,63.29,9.09,9,6.2
Itupiranga,20,BR,1555977600,100,-5.13,-49.33,26,1
Ati,11,TD,1555979719,8,13.21,18.34,31.54,6.79
Sitia,78,GR,1555979623,58,35.21,26.11,13.33,2.24
Port Hardy,90,CA,1555977600,93,50.7,-127.42,9,3.1
Darnah,39,LY,1555979709,64,32.77,22.64,16.98,10.54
Buluang,40,PH,1555977600,66,10.47,123.98,29,4.6
Cherbourg,90,AU,1555977600,82,-26.29,151.95,20,4.6
George Town,75,MY,1555977600,88,5.42,100.33,29,0.5
,,,,,,,,
Gizo,20,IL,1555979675,81,31.8,34.94,11.11,1
Pulandian,100,CN,1555977600,76,39.4,121.96,14,5
Martapura,98,ID,1555977600,88,-3.41,114.85,27,3.1
Touros,40,BR,1555977600,94,-5.2,-35.46,26,1
,,,,,,,,
Santa Cruz,1,US,1555979607,24,36.97,-122.03,29.44,5.7
Takanosu,75,JP,1555977600,71,40.22,140.37,13,1.5
Nyurba,93,RU,1555979723,70,63.29,118.35,-2.33,1.61
Mareeba,40,AU,1555979600,65,-16.99,145.42,28,4.6
Springbok,0,ZA,1555979724,40,-29.67,17.88,20.84,8.49
Chengzihe,65,CN,1555979724,55,45.35,131,16.26,7.81
Tateyama,0,JP,1555979391,59,36.66,137.31,19.44,3.1
Kuusankoski,0,FI,1555979469,57,60.91,26.62,9,1.5
Melo,55,UY,1555979724,84,-32.37,-54.17,11.41,3.9
Yarmouth,81,GB,1555979711,67,50.71,-1.5,14,1.5
Tagusao,44,PH,1555979724,59,9.19,117.81,28.76,2.65
Uglich,54,RU,1555979725,64,57.53,38.32,7.64,2.81
Kungurtug,0,RU,1555979725,57,50.6,97.53,-4.7,0.59
Tubuala,40,PA,1555977638,65,9.52,-79.03,28,2.6
Belomorsk,99,RU,1555979725,89,64.52,34.76,4.94,3.64
Estevan,1,CA,1555979569,18,49.14,-102.99,16.67,1
Humberto de Campos,96,BR,1555979725,79,-2.6,-43.46,26.99,2.8
Shkurinskaya,22,RU,1555979726,60,46.58,39.36,6.44,2.85
Meulaboh,100,ID,1555979429,82,4.14,96.13,27.66,3.2
,,,,,,,,
Hokitika,0,NZ,1555979731,62,-42.72,170.96,16.81,2.11
Fort Saint James,84,CA,1555979732,42,54.43,-124.25,11.16,7.41
Namatanai,95,PG,1555979439,82,-3.66,152.44,27.49,2.38
Saint-Joseph,90,FR,1555979716,67,43.56,6.97,16,2.1
Kargasok,0,RU,1555979352,84,59.06,80.87,0.42,3.99
Yerbogachen,10,RU,1555979733,82,61.28,108.01,-3.77,3.93
Sibay,15,RU,1555979733,72,52.72,58.67,4.62,2.03
Gidole,95,ET,1555979733,69,5.65,37.37,22.06,1.73
Hualmay,25,PE,1555979441,93,-11.1,-77.61,20.73,4.09
Xining,0,CN,1555979733,44,36.62,101.77,8.66,1.28
Turayf,0,SA,1555977600,93,31.68,38.65,7,2.1
Murdochville,100,CA,1555979733,67,48.96,-65.49,0.23,1.92
Antofagasta,75,CL,1555977600,72,-23.65,-70.4,18,4.6
Yar-Sale,74,RU,1555979457,87,66.83,70.83,-0.57,7.87
Adrar,0,DZ,1555977600,24,27.87,-0.29,19,2.6
Palmerston,1,CA,1555979512,62,43.83,-80.85,15.56,3.6
Fairbanks,40,US,1555979243,34,64.84,-147.72,12.22,7.7
Camara de Lobos,75,PT,1555979585,77,32.63,-16.97,17,8.2
Kanata,75,CA,1555979730,48,45.32,-75.9,16.11,5.7
Carauari,32,BR,1555979734,78,-4.88,-66.9,26.26,0.89
Emerald,90,AU,1555978619,69,-23.53,148.16,24.44,5.1
Tecpan,75,GT,1555979444,73,14.76,-90.99,22,5.1
Lesnyye Polyany,0,RU,1555979429,69,55.97,37.87,10,1
La Ronge,75,CA,1555977600,30,55.1,-105.3,14,6.2
Lufilufi,75,WS,1555979584,79,-13.87,-171.6,30,4.6
Kamenskiy,97,RU,1555979735,53,50.89,45.49,10.43,2.37
Ballina,76,IE,1555979405,77,54.11,-9.15,12.22,3.58
Shihezi,100,CN,1555979735,73,44.3,86.03,11.86,1.34
Cumbitara,90,CO,1555974000,93,1.65,-77.58,18,1.5
Rockport,75,US,1555979596,78,28.02,-97.05,24,6.7
Luanda,20,AO,1555974000,83,-8.83,13.24,27,3.6
,,,,,,,,
Ust-Nera,88,RU,1555979736,79,64.57,143.24,-4.35,2.24
,,,,,,,,
Jos,81,NG,1555979437,68,9.92,8.9,26.32,2.69
Along,100,IN,1555979736,76,28.17,94.8,10.77,1.87
Dakar,40,SN,1555977600,88,14.69,-17.45,20,4.1
Aksarka,60,RU,1555979587,86,66.56,67.8,-1.2,6
Charyshskoye,94,RU,1555979736,77,51.4,83.56,0.35,0.92
Road Town,40,VG,1555978932,69,18.42,-64.62,26,2.1
Richards Bay,96,ZA,1555979460,81,-28.77,32.06,22.26,2.33
Alyangula,33,AU,1555977600,70,-13.85,136.42,30,2.6
Novikovo,68,UA,1555979420,74,45.05,34.56,5.89,1.37
Fereydun Kenar,100,IR,1555979737,81,36.69,52.52,11.39,4.09
Tual,42,ID,1555979642,76,-5.67,132.75,29.84,7.7
Punta Gorda,1,US,1555979669,43,26.93,-82.05,24.44,3.6
Miri,81,NG,1555979737,48,10.31,9.75,29.55,2.08
Bayeux,0,FR,1555979404,87,49.28,-0.7,15,5.28
Santa Vitoria do Palmar,35,BR,1555979397,73,-33.52,-53.37,13.56,2.53
Dzilam Gonzalez,0,MX,1555979354,74,21.28,-88.93,25.28,9.19
,,,,,,,,
Coxim,98,BR,1555979737,78,-18.5,-54.75,25.08,1.12
Sisimiut,100,GL,1555979664,81,66.94,-53.67,-0.62,4.89
Tucurui,71,BR,1555979738,96,-3.77,-49.67,24.05,1.13
Kudahuvadhoo,73,MV,1555979738,77,2.67,72.89,29.67,5.58
Beloha,0,MG,1555979738,87,-25.17,45.06,22.57,4
Mmathubudukwane,58,BW,1555979738,69,-24.61,26.43,19.21,3.64
Sola,0,FI,1555978925,86,62.78,29.36,3.33,2.63
San Luis,68,AR,1555979445,78,-33.3,-66.34,13.98,3.98
Lazaro Cardenas,40,MX,1555979739,20,28.39,-105.62,28,13.9
Dera Bugti,0,PK,1555979739,26,29.03,69.15,27.14,0.87
,,,,,,,,
Evansville,1,US,1555979724,38,37.97,-87.56,25,4.6
Bandarbeyla,91,SO,1555979352,77,9.49,50.81,26.51,3.83
Cairns,40,AU,1555979371,65,-16.92,145.77,28,4.6
Banda Aceh,100,ID,1555979725,70,5.56,95.32,29.53,3.28
Mubi,100,NG,1555979740,25,10.27,13.26,33.81,1.5
Antalaha,100,MG,1555979423,98,-14.9,50.28,21.06,1.35
Vidim,0,CZ,1555979732,61,50.47,14.53,11.11,5.7
Poum,93,MK,1555979431,88,41.28,20.71,8.23,2.91
Kloulklubed,75,PW,1555977000,79,7.04,134.26,29,6.7
Emirdag,23,TR,1555979740,65,39.02,31.15,0.95,0.48
Mandalgovi,100,MN,1555979740,43,45.76,106.27,6.56,5
Waingapu,49,ID,1555979445,78,-9.65,120.26,26.29,6.35
Bang Saphan,20,TH,1555977600,70,11.21,99.51,30,4.1
Nelson Bay,40,AU,1555979464,64,-32.72,152.14,26.67,4.1
Makokou,6,GA,1555979741,89,0.56,12.85,23.69,0.71
,,,,,,,,
Buchanan,75,LR,1555977600,94,5.88,-10.05,24,4.41
Tikri,0,IN,1555979741,34,29.73,77.01,25.38,2.82
Bluffton,1,US,1555979706,42,40.74,-85.17,21.11,3.6
Dauphin,1,CA,1555977600,26,51.15,-100.04,15,6.2
Luga,79,RU,1555979742,66,58.74,29.85,7.96,0.82
Maholi,0,IN,1555979742,30,27.65,80.48,27.53,3.63
Buala,99,SB,1555979392,76,-8.15,159.59,28.85,3.18
,,,,,,,,
Itatiaia,1,BR,1555979742,86,-22.5,-44.56,17.38,1.24
Bundaberg,90,AU,1555978509,69,-24.87,152.35,27.22,7.7
Nouadhibou,93,MR,1555977600,88,20.93,-17.03,18,6.2
Shiloh,1,US,1555979738,44,38.56,-89.9,28.33,6.7
Tokmak,100,UA,1555979743,50,47.26,35.7,10.6,1.41
Paamiut,100,GL,1555979427,93,61.99,-49.67,0.11,1.76
,,,,,,,,
,,,,,,,,
Udachnyy,0,RU,1555975800,48,66.42,112.4,-6,3
Tukums,0,LV,1555977000,66,56.97,23.17,3,2.05
Chikwawa,100,MW,1555979743,93,-16.03,34.79,18.05,0.32
,,,,,,,,
,,,,,,,,
San Isidro,15,PH,1555979361,69,16.74,121.63,27.31,2.28
Iquitos,40,PE,1555977600,79,-3.75,-73.25,29,4.6
Muisne,75,EC,1555974000,83,0.61,-80.02,28,3.6
Zhezkazgan,0,KZ,1555979555,63,47.8,67.71,3.31,2.78
Coari,100,BR,1555979744,96,-4.09,-63.14,24.71,0.28
Bat Yam,20,IL,1555979675,81,32.02,34.75,11.11,1
Galbshtadt,42,RU,1555979744,49,53.23,78.98,3.93,2.2
,,,,,,,,
Bogovarovo,100,RU,1555979744,90,58.98,47.02,5.55,2.55
Cururupu,100,BR,1555979648,98,-1.82,-44.87,23.57,0.59
Sobolevo,0,RU,1555979745,57,54.43,31.9,7.75,2.07
Montelimar,11,CR,1555979745,63,10.54,-84.57,25.13,6.47
Pavlogradka,99,RU,1555979745,53,54.2,73.56,5.29,3.11
,,,,,,,,
Grand Haven,75,US,1555979725,33,43.06,-86.23,23,6.7
Horta,99,ES,1555979741,82,41.43,2.16,16.11,2.38
